题目,朝代,作者,内容
画蝉,元末明初,丁鹤年,饮露身何洁，吟风韵更长。斜阳千万树，无处避螳螂。
题天柱山图,元末明初,丁鹤年,拔翠五云中，擎天不计功。谁能凌绝顶，看取日升东。
暮春感怀 其一,元末明初,丁鹤年,杜宇声声唤客愁，故园何处此登楼。落花飞絮成春梦，剩水残山异昔游。歌扇多情明月在，舞衣无迹彩云收。东皇去后韶华尽，老圃寒香别有秋。
暮春感怀 其二,元末明初,丁鹤年,四十无闻懒慢身，放情丘壑任天真。悠悠往事杯中物，赫赫时名扇外尘。短策看云松寺晚，疏帘听雨草堂春。山花水鸟皆知己，百遍相过不厌频。
玩鞭亭,元末明初,张宪,畸乌压营营作声，红光紫电围金钲。黄须小龙马上笑，白首饥豺梦里惊。老奴怒掷珊瑚枕，追兵起合琉璃井。巴马东归疾似风，道傍遗粪如冰冷。健儿空玩七宝鞭，荆台老姥功谁传？
和西湖竹枝词,元末明初,曹睿,昨夜西湖月色多，照见郎君金叵罗。明朝江头放船去，江亭风雨奈君何。
舟次严滩,元末明初,金涓,八月桐江曲，青蘋未著花。乱云低压树，细水浅流沙。到郭无多路，依山有几家。故人成远别，相望各天涯。
玩月,元末明初,叶颙,天阔海波平，飞空一镜明。乌栖烟树冷，蟾浴石潭清。素魄流金液，孀娥舞玉京。周旋云鬓乱，缥缈羽衣轻。短世人空老，长生药未成。桂林秋万顷，茅屋夜三更。芳砌铺冰雪，疏帘飏水晶。穿窗微弄色，当户寂无声。屡动袁宏兴，狂呼庾亮名。神光亿万丈，照我七尺形。我喜不能寐，起坐尘梦醒。凉飙吹华发，霜髦被长缨。登高发清啸，万壑虚泠泠。长天净如洗，满座人皆惊。清虚异人境，萧爽真蓬瀛。胡为生尘土，汨没劳经营。安得齐云梯，独步游黄庭。琼楼恣观览，呼吸瑶华精。吟咏玩佳景，千秋遗世情。
海月岩二首 其一,元末明初,赵汸,踏尽崔嵬倚石门，海风山月满岩峦。自言仙室依蓬岛，不觉人寰变广寒。千载扬尘安可测，一杯对景且为欢。岩前浴日皆诗景，唤醒东坡仔细看。
海月岩二首 其二,元末明初,赵汸,架岩凿石有规模，不学桃源旧画图。亭作人稀林鸟乐，锡飞天老野云孤。雨余石井泉深浅，烟淡虎门山有无。说与山灵莫分别，从教仙穴看浮屠。
秋日即事 其二,元末明初,刘基,杨柳新栽半出篱，夜深鸟鹊自鹭枝。露凉月淡空烟暝，啼到金鸡报晓时。
秋日即事 其三,元末明初,刘基,九月东风露不寒，蟪蛄相庆语檐端。野人便拟开荒径，剩种忘忧与合欢。
秋日即事 其四,元末明初,刘基,摇落江皋草满烟，秋光何处不堪怜。夜凉银汉低城阙，卧听蛩声似筦弦。
秋日即事 其十二,元末明初,刘基,满天星月一庭烟，坐掩衡门思悄然。漫想明珠成薏苡，却嫌黄菊似金钱。
秋日即事 其十三,元末明初,刘基,疏雨鸣檐月在云，马蹄初歇夜将分。雁行却向城头过，何处砧声隐隐闻。
秋日即事 其十四,元末明初,刘基,江上秋高暑未归，照书犹有数萤飞。东风可是怜游子，不遣看天忆授衣。
和刘氏蓬轩歌,元末明初,郭钰,往与丹邱仙人泛舟弱水之西，采药蓬莱之下，笑坐蓬窗中，蓬外春如画。三生不得尘缘谢，老去人间结茅舍。却羡刘郎所作之蓬轩，山水娱人甚潇洒。春风淡沲春云阴，花枝窈窕帘栊深。刘郎酒初醒，独坐蓬轩吟。月浸澄江雁无影，桂树吹香秋夜永。刘郎歌未终，更向蓬轩饮。蓬轩饮后醉复眠，楼船美人散如烟，英雄回首皆成仙。千金买闲不惜费，何日蓬轩容我醉。挂衣薜萝落岩花，荡桨芙蓉弄秋水。夜半天风捲翠涛，种来修竹齐云高。待把长虹系明月，海上重来钓六鳌。
题郭伯澄西崦山居,元末明初,郭钰,白日上东山，晴光射西崦。西崦山人开晓关，一襟煖翠浓如染。门前流水玉虹明，树上啼莺金羽轻。自扫落花客初到，共题修竹诗先成。十载战尘迷道路，西崦只今成久住。移竹春深长子孙，种梅晚岁为宾主。丈夫扬眉天地间，山林朝市俱等闲。出为公卿入为士，古人高节非难攀。闻君近年深闭户，乌帽青灯读书苦。剑寒新淬冰雪光，松老终无栋梁具。西崦山深竹径微，我来欲共薜萝衣。一朝富贵逼君去，燕雀空羡冥鸿飞。
采蕨歌,元末明初,郭钰,朝采蕨，南山侧。暮采蕨，北山北。穿云伐石飞星裂，手脚冻皴腰欲折。紫芽初长粉如脂，瘦根蟠屈蛟蛇结。吞声出门腹已饥，猿啼风摆藤萝衣。长镵短笠日将暮，攀援垠堮何当归。朝采蕨，暮采蕨，东邻老翁更悽恻。抱蕨转死长松根，妻子眼穿泪成血。情知世乱百忧煎，得归茅屋心悬悬。痴儿啼怒炊烟晚，打门又索军需钱。君不见将军拥旌节，红楼夜醉梨花月。
画山水歌赠杨彦正,元末明初,郭钰,忆我往岁山中居，山水娱人忘读书。钓鱼独坐溪石久，看竹每过邻人居。苍松鹤带白云下，紫萝猿抱晴烟虚。而我扶醉骑蹇驴，谁人不道似是浣花之画图。自从丧乱走南北，甚欲画之不可得。杨君挥翰颇风流，云山为作秋三叠。寒雅隔浦淡微茫，老树悬崖交屈铁。门前芝草涧中石，稚子松根采残叶。知君所画非青原，令我展转思故园。山桥野径宛相似，桂树正对梅花村。清秋毫末瘦蛟舞，白日座上银河翻。问君何得最奇古，十载苦心思董元。董元旧住浙江上，门对吴山耸千文。有时登高望海潮，老怀挥霍增雄壮。遗迹百年今渐亡，战尘千里吾安往。但将此画挂高堂，清秋卧听松风响。
